# Cryptococcus neoformans H99 gene information
# Downloaded from FungiDB 59, 2022-09-05
GeneID	ProductDescription	GeneName	CuratedGOComponents	CuratedGOFunctions	CuratedGOProcesses
CNAG_01416	hypothetical protein	NA	NA	NA	NA
CNAG_01417	hypothetical protein	NA	NA	NA	NA
CNAG_01418	hypothetical protein	NA	NA	NA	NA
CNAG_01419	hypothetical protein	NA	NA	NA	NA
CNAG_01420	hypothetical protein	NA	NA	NA	NA
CNAG_01421	hypothetical protein	NA	NA	NA	NA
CNAG_01422	endoplasmic reticulum protein	NA	NA	NA	NA
CNAG_01423	hypothetical protein	NA	NA	NA	NA
CNAG_01424	hypothetical protein	NA	NA	NA	NA
CNAG_01425	hypothetical protein	NA	NA	NA	NA
CNAG_01426	vacuolar protein sorting 26, variant 2	NA	NA	NA	NA
CNAG_01428	Translation initiation factor 5A	NA	NA	NA	NA
CNAG_01429	hypothetical protein	NA	NA	NA	NA
CNAG_01430	hypothetical protein	NA	NA	NA	NA
CNAG_01431	hypothetical protein	HOB1	NA	NA	adhesion of symbiont to host endothelial cell;entry into host;mating;melanin biosynthetic process;response to diamide;response to dithiothreitol;response to heat;response to hydrogen peroxide;response to hydroxyurea;response to methyl methanesulfonate;response to non-ionic osmotic stress;response to
CNAG_01432	ribosome assembly protein 4, variant	NA	NA	NA	NA
CNAG_01435	serine-tRNA ligase	NA	NA	NA	NA
CNAG_01436	serine/threonine-protein phosphatase 6 catalytic subunit	SIT4	NA	NA	adhesion of symbiont to host endothelial cell;cellular response to antibiotic;cellular response to cadmium ion;cellular response to diamide;cellular response to hydrogen peroxide;cellular response to hydroxyurea;cellular response to menadione;cellular response to methyl methanesulfonate;cellular res
CNAG_01437	ribosomal RNA assembly protein	NA	NA	NA	NA
CNAG_01438	Cell-cycle box factor subunit SWI6, putative	SWI6	NA	NA	capsule organization;melanin biosynthetic process;response to heat;response to hydrogen peroxide
CNAG_01439	U4/U6 small nuclear ribonucleoprotein PRP4	NA	NA	NA	NA
CNAG_01440	hypothetical protein	NA	NA	NA	NA
CNAG_01441	hypothetical protein	NA	NA	NA	NA
CNAG_01442	cysteine desulfurase IscS	NA	NA	NA	NA
CNAG_01443	hypothetical protein	NA	NA	NA	NA
CNAG_01444	DNA-directed RNA polymerase II subunit RPB4	RPB4	NA	NA	NA
CNAG_01445	autophagy-like protein 9	APG9	NA	NA	NA
CNAG_01446	heat shock protein, 12Kda	HSP12	NA	NA	NA
CNAG_01448	hypothetical protein	NA	NA	NA	NA
CNAG_01451	hypothetical protein	NA	NA	NA	NA
CNAG_01452	mat3 pheromone repeat protein	MAT3	NA	NA	NA
CNAG_01454	transcription factor STE12	STE12alpha	NA	NA	melanin biosynthetic process;response to hydrogen peroxide;response to tunicamycin;sporulation
CNAG_01455	large subunit ribosomal protein L39	RPL39alpha	NA	NA	NA
CNAG_01456	hypothetical protein	NA	NA	NA	NA
CNAG_01457	hypothetical protein	BSP1	NA	NA	NA
CNAG_01461	sodium/bile acid cotransporter 7-B/bile acid cotransporter 7-B	NA	NA	NA	NA
CNAG_01463	hypothetical protein	NA	NA	NA	NA
CNAG_01464	Flavohemoglobin	FHB1	NA	NA	NA
CNAG_01465	5' flap endonuclease	NA	NA	NA	NA
CNAG_01466	hypothetical protein	NA	NA	NA	NA
CNAG_01467	solute carrier family 35, member F5	NA	NA	NA	NA
CNAG_01468	hypothetical protein	NA	NA	NA	NA
CNAG_01469	CDP-diacylglycerol-serine O- phosphatidyltransferase	NA	NA	NA	NA
CNAG_01470	NADH dehydrogenase (ubiquinone) flavoprotein 2	NA	NA	NA	NA
CNAG_01471	hypothetical protein	NA	NA	NA	NA
CNAG_01472	endoplasmic reticulum protein	NA	NA	NA	NA
CNAG_01473	hypothetical protein	NA	NA	NA	NA
CNAG_01474	hypothetical protein	NA	NA	NA	NA
CNAG_01475	sphingolipid C9-methyltransferase	SMT1	NA	NA	NA
CNAG_01476	hypothetical protein	NA	NA	NA	NA
CNAG_01477	Serine palmitoyltransferase	NA	NA	NA	NA
CNAG_01478	monooxygenase	NA	NA	NA	NA
CNAG_01479	hypothetical protein	NA	NA	NA	response to cadmium ion;response to diamide
CNAG_01480	large subunit ribosomal protein L12	NA	extracellular vesicle	NA	NA
CNAG_01481	hypothetical protein	NA	NA	NA	NA
CNAG_01482	solute carrier family 25 (mitochondrial phosphate transporter), member 23/24/25/41	NA	NA	NA	NA
CNAG_01483	E3 ubiquitin ligase-like protein	HPI1	NA	NA	NA
CNAG_01485	D-lactate dehydrogenase (cytochrome)	NA	NA	NA	NA
CNAG_01486	large subunit ribosomal protein L15-A	NA	NA	NA	NA
CNAG_01487	hypothetical protein	NA	NA	NA	NA
CNAG_01489	maltose O-acetyltransferase	CAS9	NA	NA	NA
CNAG_01490	hypothetical protein	NA	NA	NA	NA
CNAG_01491	hypothetical protein	NA	NA	NA	NA
CNAG_01492	hypothetical protein	NA	NA	NA	NA
CNAG_01493	hypothetical protein, variant	NA	NA	NA	NA
CNAG_01494	hypothetical protein	NA	NA	NA	NA
CNAG_01495	myo-inositol 2-dehydrogenase	NA	NA	NA	NA
CNAG_01496	protein phosphatase 5	PPT1	NA	NA	cellular response to diamide;cellular response to oxidative stress
CNAG_01497	Integral membrane protein	NA	NA	NA	NA
CNAG_01498	Arylsulfatase	AKP2	NA	NA	NA
CNAG_01499	hypothetical protein, variant	NA	NA	NA	NA
CNAG_01500	Taurine dioxygenase	NA	NA	NA	NA
CNAG_01501	hypothetical protein	NA	NA	NA	NA
CNAG_01502	major facilitator superfamily transporter	NA	NA	NA	NA
CNAG_01504	hypothetical protein	NA	NA	NA	NA
CNAG_01506	hypothetical protein	NA	NA	NA	cellular response to heat;cellular response to salt stress
CNAG_01507	protein CGI121	NA	NA	NA	NA
CNAG_01508	hypothetical protein	NA	NA	NA	NA
CNAG_01509	hypothetical protein	NA	NA	NA	NA
CNAG_01510	hypothetical protein	NA	NA	NA	NA
CNAG_01511	hypothetical protein	NA	NA	NA	NA
CNAG_01512	hypothetical protein	NA	extracellular region	NA	NA
CNAG_01513	hypothetical protein	NA	NA	NA	NA
CNAG_01514	hypothetical protein	NA	NA	NA	NA
CNAG_01518	Phosphoglycerate mutase	PMU1	NA	NA	NA
CNAG_01519	endonuclease/exonuclease/phosphatase	EEP1	NA	NA	NA
CNAG_01520	histone-arginine methyltransferase CARM1	NA	NA	NA	NA
CNAG_01521	metallo-beta-lactamase	NA	NA	NA	NA
CNAG_01522	phenylalanine-tRNA ligase	NA	NA	NA	NA
CNAG_01523	putative mitogen-activated protein kinase HOG1	HOG1	NA	NA	capsule organization;cellular response to antibiotic;cellular response to brefeldin A;cellular response to cadmium ion;cellular response to diamide;cellular response to dithiothreitol;cellular response to heat;cellular response to hydrogen peroxide;cellular response to hydroxyurea;cellular response 
CNAG_01524	hypothetical protein	NA	NA	NA	NA
CNAG_01525	hypothetical protein	NA	NA	NA	cellular response to heat
CNAG_01526	cleavage and polyadenylation specificity factor subunit 4	NA	NA	NA	NA
CNAG_01527	hypothetical protein	NA	NA	NA	NA
CNAG_01528	hypothetical protein	NA	NA	NA	NA
CNAG_01529	solute carrier family 25 (mitochondrial phosphate transporter), member 23/24/25/41	NA	NA	NA	NA
CNAG_01530	suppressor protein SPT23	MGA2	NA	NA	NA
CNAG_01531	DNA helicase II/ATP-dependent DNA helicase PcrA	NA	NA	NA	NA
CNAG_01532	phosphatidylinositol phosphate phosphatase	INP52	NA	NA	NA
CNAG_01533	rho GTPase activator	NA	NA	NA	cellular response to hydrogen peroxide
CNAG_01534	hypothetical protein	NA	NA	NA	NA
CNAG_01535	Amino acid permease	NA	NA	NA	NA
CNAG_01536	myosin heavy chain	NA	NA	NA	NA
CNAG_01537	ATP-dependent RNA helicase VAD1	VAD1	NA	NA	hyperosmotic response;induction by symbiont of host immune response;response to caffeine
CNAG_01538	hypothetical protein	NA	NA	NA	NA
CNAG_01539	Myo-inositol-1-phosphate synthase	NA	extracellular vesicle	NA	NA
CNAG_01540	dehydrogenase	NA	NA	NA	NA
CNAG_01541	hypothetical protein	NA	NA	NA	NA
CNAG_01542	taurine catabolism dioxygenase TauD	NA	NA	NA	NA
CNAG_01543	AP-3 complex subunit beta	NA	NA	NA	NA
CNAG_01544	histidyl-tRNA synthetase	NA	NA	NA	NA
CNAG_01545	hypothetical protein	NA	NA	NA	NA
CNAG_01546	S-adenosylmethionine-dependent methyltransferase	NA	NA	NA	NA
CNAG_01547	wd-repeat protein	NA	NA	NA	NA
CNAG_01548	ATP-dependent RNA helicase FAL1	NA	NA	NA	NA
CNAG_01549	splicing factor 3a subunit 3	NA	NA	NA	NA
CNAG_01550	pre-rRNA-processing protein TSR3	NA	NA	NA	NA
CNAG_01551	GATA family transcription factor	GAT201	NA	NA	capsule organization;mating;regulation of urease activity;response to cadmium ion;response to dithiothreitol;response to hydrogen peroxide;response to sodium dodecyl sulfate
CNAG_01552	blocked early in transport 1	NA	NA	NA	NA
CNAG_01553	CORD and CS domain-containing protein	NA	NA	NA	NA
CNAG_01554	sorting nexin-4	NA	NA	NA	NA
CNAG_01555	hypothetical protein	NA	NA	NA	NA
CNAG_01556	cytoplasmic protein	NA	NA	NA	NA
CNAG_01557	Calmodulin	CAM1	NA	protein phosphatase activator activity	positive regulation of calcineurin-mediated signaling
CNAG_01558	chlorophyll synthesis pathway protein BchC	NA	NA	NA	NA
CNAG_01559	hypothetical protein	NA	NA	NA	NA
CNAG_01560	hypothetical protein	NA	NA	NA	NA
CNAG_01561	wd-repeat protein	NA	NA	NA	NA
CNAG_01562	pr4/barwin domain protein	BLP4	extracellular region	NA	NA
CNAG_01563	histone deacetylase 6/10	HDA1	NA	protein binding	NA
CNAG_01564	nucleolar protein 12	NA	NA	NA	NA
CNAG_01565	biotin-[acetyl-CoA-carboxylase] ligase	NA	NA	NA	NA
CNAG_01566	gamma-tubulin complex component 3	NA	NA	NA	NA
CNAG_01567	hypothetical protein	NA	NA	NA	NA
CNAG_01568	T-complex protein 1 subunit alpha	NA	NA	NA	NA
CNAG_01569	hypothetical protein	NA	NA	NA	NA
CNAG_01570	hypothetical protein, variant	NA	NA	NA	NA
CNAG_01571	hypothetical protein	NA	NA	NA	NA
CNAG_01572	tyrosine phosphatase	CDC25	NA	NA	NA
CNAG_01573	hypothetical protein	RIF2	NA	protein binding	NA
CNAG_01574	hypothetical protein	NA	NA	NA	cellular response to dithiothreitol
CNAG_01575	ATP-binding cassette transporter	NA	NA	NA	NA
CNAG_01576	hypothetical protein	NA	NA	NA	NA
CNAG_01577	glutamate dehydrogenase (NADP)	NA	extracellular vesicle	NA	NA
CNAG_01578	hypothetical protein	NA	NA	NA	NA
CNAG_01579	vacuolar membrane-associated protein IML1	NA	NA	NA	NA
CNAG_01580	sterol regulatory element-binding protein cleavage-activating protein	SCP1	NA	NA	NA
CNAG_01581	hypothetical protein	NA	NA	NA	NA
CNAG_01582	hypothetical protein	NA	NA	NA	NA
CNAG_01583	vacuolar-sorting protein SNF7	NA	NA	NA	NA
CNAG_01584	hydrolase	NA	NA	NA	NA
CNAG_01585	hypothetical protein	NA	NA	NA	NA
CNAG_01586	F-type H -transporting ATPase subunit B	NA	NA	NA	NA
CNAG_01587	RNA polymerase-associated protein LEO1	NA	NA	NA	NA
CNAG_01588	plasma membrane proteolipid 3	NA	NA	NA	NA
CNAG_01590	large subunit ribosomal protein L32	NA	NA	NA	NA
CNAG_01591	hypothetical protein	NA	NA	NA	NA
CNAG_01592	protein-S-isoprenylcysteine O-methyltransferase	STE14	NA	NA	NA
CNAG_01593	ribosome biogenesis protein SSF1/2	NA	NA	NA	NA
CNAG_01594	glycine dehydrogenase	NA	NA	NA	NA
CNAG_01595	hypothetical protein	NA	NA	NA	NA
CNAG_01596	hypothetical protein	NA	NA	NA	NA
CNAG_01597	hypothetical protein	NA	NA	NA	NA
CNAG_01598	template-activating factor I	NA	NA	NA	NA
CNAG_01599	hypothetical protein	NA	NA	NA	NA
CNAG_01600	ribosome assembly protein RRB1	NA	NA	NA	NA
CNAG_01601	lipase	NA	NA	NA	NA
CNAG_01602	IQ domain-containing calmodulin-binding protein	NA	NA	NA	NA
CNAG_01603	hypothetical protein	NA	NA	NA	NA
CNAG_01604	TIGR01458 family HAD hydrolase, variant	NA	NA	NA	NA
CNAG_01605	rossman fold oxidoreductase	NA	NA	NA	NA
CNAG_01606	hypothetical protein	NA	NA	NA	NA
CNAG_01607	thioredoxin	TRX2	NA	NA	response to nitrite
CNAG_01608	nuclear GTP-binding protein	NA	NA	NA	NA
CNAG_01609	Cystathionine gamma-synthase	NA	NA	NA	NA
CNAG_01610	hypothetical protein	NA	NA	NA	NA
CNAG_01611	infection related protein of unknown function	LIV8	NA	NA	response to sodium dodecyl sulfate
CNAG_01612	CAMK/CAMKL protein kinase	PSK202	NA	NA	NA
CNAG_01613	hypothetical protein	NA	NA	NA	NA
CNAG_01614	ubiquitin carboxyl-terminal hydrolase 10	UBP10	NA	NA	NA
CNAG_01615	aldo-keto reductase	NA	NA	NA	NA
CNAG_01616	hypothetical protein	NA	NA	NA	NA
CNAG_01619	hypothetical protein	NA	NA	NA	NA
CNAG_01620	hypothetical protein	NA	NA	NA	NA
CNAG_01621	hypothetical protein	NA	NA	NA	NA
CNAG_01622	CTD kinase subunit beta	NA	NA	NA	NA
CNAG_01623	tRNA pseudouridine(55) synthase	NA	NA	NA	NA
CNAG_01624	hypothetical protein	NA	NA	NA	NA
CNAG_01625	hypothetical protein	NA	NA	NA	NA
CNAG_01626	transcriptional adapter 2-alpha	ADA2	NA	NA	capsule organization;entry into host;filamentous growth;hyperosmotic response;mating;melanin biosynthetic process;negative regulation of melanin biosynthetic process;response to alkaline pH;response to cadmium ion;response to caffeine;response to calcium ion;response to dithiothreitol;response to et
CNAG_01627	amino oxidase	NA	NA	NA	NA
CNAG_01628	small subunit ribosomal protein S20	NA	NA	NA	NA
CNAG_01629	multifunctional methyltransferase subunit TRM112	NA	NA	NA	NA
CNAG_01630	polyadenylation factor subunit 2	NA	NA	NA	NA
CNAG_01631	mRNA cap guanine-N7 methyltransferase	NA	NA	NA	NA
CNAG_01632	triacylglycerol lipase, variant	NA	NA	NA	NA
CNAG_01633	anaphase-promoting complex subunit 5	NA	NA	NA	NA
CNAG_01634	large subunit GTPase 1	NA	NA	NA	filamentous growth
CNAG_01635	hypothetical protein	NA	NA	NA	NA
CNAG_01636	peptidyl-prolyl cis-trans isomerase-like 1	NA	NA	NA	NA
CNAG_01637	COPII-coated vesicle component Erv46	NA	NA	NA	NA
CNAG_01638	mitotic spindle assembly checkpoint protein MAD2	NA	NA	NA	NA
CNAG_01639	elongation factor G, mitochondrial	NA	NA	NA	NA
CNAG_01640	Cold sensitive for fermentation protein 1, putative	CSF1	NA	NA	NA
CNAG_01641	DNA polymerase phi subunit	NA	NA	NA	NA
CNAG_01642	DNA mismatch repair protein MSH3	NA	NA	NA	NA
CNAG_01643	hypothetical protein	NA	NA	NA	NA
CNAG_01644	hypothetical protein	MLN4	NA	NA	melanin biosynthetic process
CNAG_01645	hypothetical protein	NA	NA	NA	NA
CNAG_01646	rab escort protein	NA	NA	NA	NA
CNAG_01647	translocation protein SEC66	NA	NA	protein binding	mating
CNAG_01648	Histone H4	H4	extracellular vesicle	protein binding	NA
CNAG_01649	hypothetical protein	NA	NA	NA	NA
CNAG_01650	large subunit ribosomal protein L7	MRPL7	NA	NA	NA
CNAG_01651	glicosidase	NA	NA	NA	NA
CNAG_01652	peptide-N4-(N-acetyl-beta- glucosaminyl)asparagine amidase	PNG1	NA	NA	NA
CNAG_01653	cytokine inducing-glycoprotein	CIG1	NA	NA	NA
CNAG_01654	putative capsule structure designer protein	CAS34	NA	NA	NA
CNAG_01655	dynamin GTPase	NA	NA	NA	NA
CNAG_01656	hypothetical protein	NA	NA	NA	NA
CNAG_01657	fumarate hydratase, mitochondrial	NA	NA	NA	NA
CNAG_01658	hypothetical protein	NA	NA	NA	NA
CNAG_01659	hypothetical protein	NA	NA	NA	NA
CNAG_01660	translation initiation factor eif-2b subunit alpha	GCN3	NA	NA	NA
CNAG_01663	dynactin 4	NA	NA	NA	NA
CNAG_01664	CMGC/CDK/CDC2 protein kinase	NA	NA	NA	NA
CNAG_01665	tRNA-splicing endonuclease subunit sen34	NA	NA	NA	NA
CNAG_01666	U6 snRNA-associated Sm-like protein LSm2	NA	NA	NA	NA
CNAG_01667	4-hydroxybenzoate polyprenyl transferase	COQ2	NA	NA	NA
CNAG_01668	hypothetical protein	NA	NA	NA	NA
CNAG_01669	metallo-beta-lactamase	NA	NA	NA	NA
CNAG_01670	hypothetical protein	NA	NA	NA	NA
CNAG_01671	acetyl/propionyl CoA carboxylase	NA	NA	NA	NA
CNAG_01672	Ras family protein	NA	NA	NA	NA
CNAG_01673	hypothetical protein, variant	NA	NA	NA	NA
CNAG_01674	MFS transporter	NA	NA	NA	NA
CNAG_01675	tagatose-bisphosphate aldolase	NA	NA	NA	NA
CNAG_01676	tRNA (adenine-N(1)-)-methyltransferase non- catalytic subunit TRM6	NA	NA	NA	NA
CNAG_01677	ER to Golgi transporter Yif1	NA	NA	NA	NA
CNAG_01678	Na /H exchanger AnNHA1	NHA1	NA	NA	hyperosmotic response;response to antibiotic;response to lithium ion;response to sodium dodecyl sulfate
CNAG_01679	small subunit ribosomal protein S15	NA	NA	NA	NA
CNAG_01680	3-methylcrotonyl-CoA carboxylase alpha subunit	NA	NA	NA	NA
CNAG_01681	cytosine permease	FCY2	NA	NA	NA
CNAG_01682	mitochondrial outer membrane 72K protein	NA	NA	NA	NA
CNAG_01683	Monosaccharide transporter	STL1	NA	NA	NA
CNAG_01686	hypothetical protein	NA	NA	NA	NA
CNAG_01687	Atypical/RIO/RIO2 protein kinase	NA	NA	NA	NA
CNAG_01688	ATP-dependent metalloprotease	NA	NA	NA	NA
CNAG_01689	hypothetical protein, variant	NA	NA	NA	NA
CNAG_01690	MFS transporter	NA	NA	NA	NA
CNAG_01691	hypothetical protein, variant	NA	NA	NA	NA
CNAG_01692	rub1/nedd8 activating enzyme	UBA3	NA	NA	NA
CNAG_01693	exosome complex component RRP45	NA	NA	NA	NA
CNAG_01694	hypothetical protein	NA	NA	NA	NA
CNAG_01695	hypothetical protein	NA	NA	NA	NA
CNAG_01696	chaperone DnaJ, variant	NA	NA	NA	NA
CNAG_01697	COP9 signalosome subunit 12-like protein	CSN1201	NA	NA	melanin biosynthetic process
CNAG_01698	hypothetical protein	NA	NA	NA	NA
CNAG_01699	histone deacetylase 1/2	NA	NA	protein binding	NA
CNAG_01701	RTA1 domain-containing protein	NA	NA	NA	filamentous growth
CNAG_01702	Integral membrane protein	NA	NA	NA	NA
CNAG_01703	hypothetical protein	NA	NA	NA	NA
CNAG_01704	serine/threonine protein kinase	IRK6	NA	NA	cellular response to salt stress;positive regulation of capsule organization;regulation of urease activity
CNAG_01706	hypothetical protein	NA	NA	NA	NA
CNAG_01707	Putative regulator of G-protein signaling protein	CRG3	NA	NA	NA
CNAG_01708	hypothetical protein	GAT7	NA	NA	response to cadmium ion;response to salt stress;response to sodium dodecyl sulfate;response to tunicamycin
CNAG_01709	translation initiation factor 5	NA	NA	NA	NA
CNAG_01710	hypothetical protein	NA	NA	NA	NA
CNAG_01711	glycerol-3-phosphate O- acyltransferase/dihydroxyacetone phosphate acyltransferase	NA	NA	NA	NA
CNAG_01712	hypothetical protein	NA	NA	NA	NA
CNAG_01713	hypothetical protein	NA	NA	NA	NA
CNAG_01714	sulfonate dioxygenase	NA	NA	NA	NA
CNAG_01715	ribosome biogenesis protein BMS1	NA	NA	NA	NA
CNAG_01716	hypothetical protein	NA	NA	NA	NA
CNAG_01717	cell differentiation protein rcd1	NA	NA	NA	NA
CNAG_01718	hypothetical protein	NA	NA	NA	NA
CNAG_01719	hypothetical protein	NA	NA	NA	NA
CNAG_01720	ESCRT-I complex subunit TSG101	VPS23	NA	NA	capsule organization;endocytosis;hyperosmotic response;melanin biosynthetic process;response to alkaline pH;response to antibiotic;response to brefeldin A;response to lithium ion
CNAG_01721	porphobilinogen deaminase	HEM3	NA	NA	NA
CNAG_01722	vacuolar protein sorting-associated protein vps13	NA	NA	NA	NA
CNAG_01723	hypothetical protein	NA	NA	NA	NA
CNAG_01725	hypothetical protein, variant	NA	NA	NA	cellular response to brefeldin A;cellular response to heat;cellular response to hydrogen peroxide;cellular response to salt stress;cellular response to tunicamycin
CNAG_01726	FACT complex subunit spt16	NA	NA	NA	NA
CNAG_01727	hsp71-like protein	NA	extracellular vesicle	NA	NA
CNAG_01728	hypothetical protein	NA	NA	NA	NA
CNAG_01729	ATP-dependent RNA helicase DHX37/DHR1	NA	NA	NA	NA
CNAG_01730	STE/STE7/MEK1 protein kinase	STE7	NA	NA	hyphal growth;mating;regulation of urease activity
CNAG_01731	hypothetical protein	NA	NA	NA	NA
CNAG_01732	nuclear protein localization protein 4	NA	NA	NA	NA
CNAG_01733	pre-mRNA-processing factor 19	NA	NA	NA	NA
CNAG_01734	pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	NA	NA	NA	NA
CNAG_01735	hypothetical protein	NA	NA	NA	NA
CNAG_01736	DASH complex subunit dad4	NA	NA	NA	NA
CNAG_01737	C-4 methyl sterol oxidase, putative	ERG25	NA	NA	NA
CNAG_01738	hypothetical protein	NA	NA	NA	NA
CNAG_01739	hypothetical protein	NA	NA	NA	NA
CNAG_01740	septin	CDC12	NA	NA	response to caffeine
CNAG_01741	hypothetical protein	NA	NA	NA	NA
CNAG_01742	aquaporin-associated protein	AQY1	NA	NA	NA
CNAG_01743	hypothetical protein	NA	NA	NA	NA
CNAG_01744	phosphatase	HAD1	NA	NA	cellular response to antibiotic;cellular response to diamide;cellular response to menadione;cellular response to non-ionic osmotic stress;cellular response to oxidative stress;cellular response to salt stress;cellular response to sodium dodecyl sulfate;cellular response to sorbitol;cellular response
CNAG_01745	glycerol-3-phosphate dehydrogenase (NAD())	NA	NA	NA	NA
CNAG_01746	E3 ubiquitin-protein ligase RNF14	NA	NA	NA	NA
CNAG_01749	hypothetical protein	NA	NA	NA	NA
CNAG_01750	hsp72-like protein	NA	NA	NA	NA
CNAG_01751	hypothetical protein	NA	NA	NA	NA
CNAG_01752	solute carrier family 25 (mitochondrial 2- oxodicarboxylate transporter), member 21	NA	NA	NA	NA
CNAG_01753	hypothetical protein	NA	NA	NA	NA
CNAG_01754	hypothetical protein	NA	NA	NA	NA
CNAG_01755	hypothetical protein	NA	NA	NA	NA
CNAG_01756	mitochondrial import inner membrane translocase subunit tim22	NA	NA	NA	NA
CNAG_01758	Polygalacturonase	PGU1	NA	NA	NA
CNAG_01759	vacuolar membrane protein	NA	NA	NA	NA
CNAG_01760	hypothetical protein	NA	NA	NA	NA
CNAG_01761	hypothetical protein	NA	NA	NA	NA
CNAG_01763	cytoplasmic protein	NA	NA	NA	NA
CNAG_01764	cytoplasmic protein	NA	NA	NA	NA
CNAG_01765	hypothetical protein	NA	NA	NA	NA
CNAG_01768	hypothetical protein	NA	NA	NA	NA
CNAG_01769	solute carrier family 25 (mitochondrial aspartate/glutamate transporter), member 12/13	NA	NA	NA	NA
CNAG_01770	mitochondrion organization and biogenesis-related protein, putative	NA	NA	NA	filamentous growth
CNAG_01771	hypothetical protein	NA	NA	NA	NA
CNAG_01772	hypothetical protein	NA	NA	NA	NA
CNAG_01773	beclin 1	NA	NA	NA	NA
CNAG_01776	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	NA	NA	NA	NA
CNAG_01777	glyoxylate reductase	NA	NA	NA	NA
CNAG_01778	hypothetical protein	NA	NA	NA	NA
CNAG_01779	hypothetical protein	NA	NA	NA	NA
CNAG_01780	cytoplasmic protein	NA	NA	NA	NA
CNAG_01781	hypothetical protein, variant 3	NA	NA	NA	NA
CNAG_01787	hypothetical protein	NA	NA	NA	NA
CNAG_01788	tRNA(His) guanylyltransferase	NA	NA	NA	NA
CNAG_01789	hypothetical protein	NA	NA	NA	NA
CNAG_01790	upstream activation factor subunit UAF30	NA	NA	NA	NA
CNAG_01791	ribosome production factor 1	NA	NA	NA	NA
CNAG_01792	ATP-dependent DNA helicase PIF1, variant	NA	NA	NA	NA
CNAG_01793	hypothetical protein	NA	NA	NA	NA
CNAG_01794	2-hydroxyacid dehydrogenase	NA	NA	NA	NA
CNAG_01795	hypothetical protein	NA	NA	NA	NA
CNAG_01796	hypothetical protein	NA	NA	NA	NA
CNAG_01797	hypothetical protein	NA	NA	NA	NA
CNAG_01798	phosphatase activator	NA	NA	NA	NA
CNAG_01799	ubiquinol-cytochrome c reductase subunit 8	NA	NA	NA	NA
CNAG_01800	hypothetical protein	NA	NA	NA	NA
CNAG_01801	hypothetical protein	NA	NA	NA	NA
CNAG_01802	Fe-S cluster assembly protein DRE2	NA	NA	NA	NA
CNAG_01803	hypothetical protein	NA	NA	NA	NA
CNAG_01806	hypothetical protein	NA	NA	NA	filamentous growth
CNAG_01807	ATP-dependent helicase	UPF1	NA	NA	mRNA catabolic process;response to drug
CNAG_01808	solute carrier family 25, member 34/35	NA	NA	NA	NA
CNAG_01809	U4/U6 small nuclear ribonucleoprotein Prp3	NA	NA	NA	NA
CNAG_01810	DNA-directed RNA polymerase I subunit RPA12	NA	NA	NA	NA
CNAG_01811	hypothetical protein	NA	NA	NA	NA
CNAG_01812	large subunit ribosomal protein L24e	NA	NA	NA	NA
CNAG_01813	mannose-1-phosphate guanyltransferase	NA	NA	NA	NA
CNAG_01814	hypothetical protein	NA	NA	NA	NA
CNAG_01815	hypothetical protein	NA	NA	NA	NA
CNAG_01816	hypothetical protein	NA	NA	NA	NA
CNAG_01817	signal recognition particle receptor subunit alpha	NA	NA	NA	NA
CNAG_01818	ATP synthase mitochondrial F1 complex assembly factor 2	NA	NA	NA	NA
CNAG_01819	large subunit ribosomal protein L1	NA	NA	NA	NA
CNAG_01820	Pyruvate kinase	PYK1	NA	NA	NA
CNAG_01821	hypothetical protein	NA	NA	NA	NA
CNAG_01822	hypothetical protein	NA	NA	NA	NA
CNAG_01823	myo-inositol-1(or 4)-monophosphatase	INM1	NA	NA	NA
CNAG_01824	Transmembrane protein	NA	NA	NA	NA
CNAG_01825	hypothetical protein	NA	NA	NA	NA
CNAG_01826	transcription initiation factor TFIIH subunit 1	NA	NA	NA	NA
CNAG_01827	hypothetical protein	NA	NA	NA	NA
CNAG_01828	compass component swd1	NA	NA	NA	NA
CNAG_01832	hypothetical protein	NA	NA	NA	NA
CNAG_01833	translation initiation factor 4E	NA	NA	NA	NA
CNAG_01834	hypothetical protein, variant	NA	NA	NA	NA
CNAG_01835	hypothetical protein	NA	NA	NA	NA
CNAG_01836	long-chain acyl-CoA synthetase	NA	NA	NA	NA
CNAG_01837	vacuolar protein sorting-associated protein VPS35	NA	NA	NA	NA
CNAG_01839	peptidyl-prolyl cis-trans isomerase NIMA- interacting 1	ESS1	NA	NA	NA
CNAG_01840	tubulin beta chain	TUB1	extracellular vesicle	NA	NA
CNAG_01841	GATA family transcription factor	GLN3	NA	NA	response to tert-butyl hydroperoxide
CNAG_01842	hypothetical protein	NA	NA	NA	NA
CNAG_01843	elongation factor Ts, mitochondrial	NA	NA	NA	NA
CNAG_01844	tetracycline efflux protein	NA	NA	NA	NA
CNAG_01845	AGC/PKC protein kinase	PKC1	NA	calcium-dependent protein kinase C activity;diacylglycerol binding;oxidoreductase activity, acting on diphenols and related substances as donors, oxygen as acceptor;protein kinase C activity	capsule organization;fungal-type cell wall organization;hyperosmotic response;melanin biosynthetic process;positive regulation of melanin biosynthetic process;protein kinase C signaling;response to caffeine;response to drug;response to nitrite;response to oxidative stress;response to sodium dodecyl 
CNAG_01846	flavoprotein	NA	NA	NA	NA
