Gat201_4h_down,Gene,Product
664,CNAG_01952,"aryl-alcohol dehydrogenase, variant"
665,CNAG_07766,DNA polymerase lambda subunit
666,CNAG_03392,DNA supercoiling protein
667,CNAG_06098,glucosamine-6-phosphate deaminase
668,CNAG_01358,hypothetical protein
669,CNAG_04268,exodeoxyribonuclease III
670,CNAG_06727,hypothetical protein
671,CNAG_06727,"hypothetical protein, variant 2"
672,CNAG_06727,"hypothetical protein, variant 1"
673,CNAG_02854,peroxiredoxin Q/BCP
674,CNAG_01157,hypothetical protein
675,CNAG_05601,calpain-like protease palB/RIM13
676,CNAG_05304,hypothetical protein
677,CNAG_05304,"hypothetical protein, variant 1"
678,CNAG_05304,"hypothetical protein, variant 2"
679,CNAG_03669,hypothetical protein
680,CNAG_00384,RAD51-like protein 2
681,CNAG_00652,"hypothetical protein, variant 2"
682,CNAG_00652,hypothetical protein
683,CNAG_00652,"hypothetical protein, variant 1"
684,CNAG_04741,endosome protein
685,CNAG_05420,RNA polymerase II transcription factor
686,CNAG_07526,hypothetical protein
687,CNAG_03167,CAMK/CAMKL/Chk1 protein kinase
688,CNAG_02321,hypothetical protein
689,CNAG_02543,hypothetical protein
690,CNAG_02512,DNA repair protein RAD16
691,CNAG_04185,hypothetical protein
692,CNAG_02233,serine/threonine-protein kinase ATR
693,CNAG_06693,hypothetical protein
694,CNAG_03044,hypothetical protein
695,CNAG_03044,"hypothetical protein, variant"
696,CNAG_06902,hypothetical protein
697,CNAG_07747,acyl-CoA oxidase
698,CNAG_03486,peptidyl-prolyl cis-trans isomerase B
699,CNAG_06647,hypothetical protein
700,CNAG_07769,E3 ubiquitin-protein ligase HUWE1
701,CNAG_06193,CMGC/RCK protein kinase
702,CNAG_01277,hypothetical protein
703,CNAG_02048,proline dehydrogenase
704,CNAG_01424,hypothetical protein
705,CNAG_03024,AGC protein kinase
706,CNAG_03024,"AGC protein kinase, variant"
707,CNAG_07438,3-keto sterol reductase
708,CNAG_00367,dynactin 5
709,CNAG_04245,chitinase
710,CNAG_04245,"chitinase, variant"
711,CNAG_04228,"2,4-dienoyl-CoA reductase"
712,CNAG_03237,hypothetical protein
713,CNAG_01996,"hypothetical protein, variant"
714,CNAG_01996,hypothetical protein
715,CNAG_04396,hypothetical protein
716,CNAG_03503,"ATP-binding cassette transporter protein YOR1, variant"
717,CNAG_03503,ATP-binding cassette transporter protein YOR1
718,CNAG_01314,vacuolar protein
719,CNAG_01314,"vacuolar protein, variant"
720,CNAG_01251,E3 ubiquitin-protein ligase TRIP12
721,CNAG_05747,vacuolar protein sorting-associated protein VTA1
722,CNAG_05747,"vacuolar protein sorting-associated protein VTA1, variant 2"
723,CNAG_05747,"vacuolar protein sorting-associated protein VTA1, variant 1"
724,CNAG_00890,hypothetical protein
725,CNAG_04597,hypothetical protein
726,CNAG_03275,glutaryl-CoA dehydrogenase
727,CNAG_03275,"glutaryl-CoA dehydrogenase, variant"
728,CNAG_05134,ornithine-oxo-acid transaminase
729,CNAG_03805,calcium/proton exchanger
730,CNAG_05963,hypothetical protein
731,CNAG_03918,hypothetical protein
732,CNAG_04433,CMGC/DYRK/DYRK2 protein kinase
733,CNAG_06320,hypothetical protein
734,CNAG_01508,hypothetical protein
735,CNAG_04168,histone H1/5
736,CNAG_02516,"hypothetical protein, variant 1"
737,CNAG_02516,hypothetical protein
738,CNAG_02516,"hypothetical protein, variant 2"
739,CNAG_04039,"iron sulfur cluster assembly protein 2, mitochondrial"
740,CNAG_04470,"haloacid dehalogenase, type II"
741,CNAG_08012,V-type proton ATPase proteolipid subunit
742,CNAG_03763,IQ domain-containing GTPase activating protein
743,CNAG_06120,cardiolipin synthase
744,CNAG_01079,"2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase"
745,CNAG_07375,guanyl-nucleotide exchange factor
746,CNAG_02493,hypothetical protein
747,CNAG_04642,tetraspanin Tsp2
748,CNAG_02934,"hypothetical protein, variant"
749,CNAG_02934,hypothetical protein
750,CNAG_08028,hypothetical protein
751,CNAG_08028,hypothetical protein
752,CNAG_05620,hypothetical protein
753,CNAG_01051,dynactin 1
754,CNAG_00405,STE/STE20/YSK protein kinase
755,CNAG_04254,hypothetical protein
756,CNAG_04440,thiamine pyrophosphokinase
757,CNAG_04440,"thiamine pyrophosphokinase, variant"
758,CNAG_02071,hypothetical protein
759,CNAG_02689,hypothetical protein
760,CNAG_04911,"hypothetical protein, variant"
761,CNAG_00137,hypothetical protein
762,CNAG_05424,hypothetical protein
763,CNAG_05181,white collar 1 protein
764,CNAG_04333,hypothetical protein
765,CNAG_04505,guanine nucleotide-binding protein subunit alpha
766,CNAG_05767,hypothetical protein
767,CNAG_05767,"hypothetical protein, variant"
768,CNAG_06073,"hypothetical protein, variant"
769,CNAG_06073,hypothetical protein
770,CNAG_00049,hypothetical protein
771,CNAG_00647,hypothetical protein
772,CNAG_06427,hypothetical protein
773,CNAG_03888,hypothetical protein
774,CNAG_03654,ATP-dependent DNA helicase
775,CNAG_07325,hypothetical protein
776,CNAG_03542,arginase
777,CNAG_07911,streptomycin biosynthesis protein StrI
778,CNAG_02254,quinate permease
779,CNAG_05903,hypothetical protein
780,CNAG_00127,hypothetical protein
781,CNAG_01702,integral membrane protein
782,CNAG_01467,"solute carrier family 35, member F5"
783,CNAG_02405,hypothetical protein
784,CNAG_05005,ULK/ULK protein kinase
785,CNAG_02924,histone H1/5
786,CNAG_03442,"phosphatidylinositol glycan, class T"
787,CNAG_07324,hypothetical protein
788,CNAG_01026,gamma-glutamyltransferase
789,CNAG_02496,hypothetical protein
790,CNAG_03171,Wee protein kinase
791,CNAG_02043,"hypothetical protein, variant"
792,CNAG_02043,hypothetical protein
793,CNAG_02912,hypothetical protein
794,CNAG_05100,ENTH domain-containing protein c
795,CNAG_01981,sulfide:quinone oxidoreductase
796,CNAG_06011,hypothetical protein
797,CNAG_05843,translation initiation factor 4E
798,CNAG_07784,hypothetical protein
799,CNAG_03152,calcium-binding protein
800,CNAG_05516,"hypothetical protein, variant"
801,CNAG_05516,hypothetical protein
802,CNAG_02855,oligosaccharyltransferase complex subunit delta (ribophorin II)
803,CNAG_03452,AFG1 family mitochondrial ATPase
804,CNAG_07433,hypothetical protein
805,CNAG_01941,glucan synthesis regulatory protein
806,CNAG_04640,ATP-citrate synthase subunit 1
807,CNAG_04457,hypothetical protein
808,CNAG_05261,hypothetical protein
809,CNAG_04484,hypothetical protein
810,CNAG_05695,glucosamine 6-phosphate N-acetyltransferase
811,CNAG_02186,myosin regulatory light chain
812,CNAG_03809,hypothetical protein
813,CNAG_01004,hypothetical protein
814,CNAG_01004,"hypothetical protein, variant 1"
815,CNAG_01004,"hypothetical protein, variant 2"
816,CNAG_05829,hypothetical protein
817,CNAG_00704,"hypothetical protein, variant"
818,CNAG_00704,hypothetical protein
819,CNAG_02137,hypothetical protein
820,CNAG_03324,hypothetical protein
821,CNAG_03695,hypothetical protein
822,CNAG_04711,hypothetical protein
823,CNAG_03607,hypothetical protein
824,CNAG_00782,STE/STE20/Fray protein kinase
825,CNAG_02402,hypothetical protein
826,CNAG_00769,STE/STE7 protein kinase
827,CNAG_05321,transposase subfamily
828,CNAG_05321,"transposase subfamily, variant"
829,CNAG_05518,exocyst complex component 4
830,CNAG_00327,DASH complex subunit DAD2
831,CNAG_04611,ubiquitin-conjugating enzyme E2 H
832,CNAG_05938,hypothetical protein
833,CNAG_05558,CAMK/CAMKL/Kin4 protein kinase
834,CNAG_06765,hypothetical protein
835,CNAG_04359,hypothetical protein
836,CNAG_01953,hypothetical protein
837,CNAG_04207,homeobox protein cut-like
838,CNAG_00663,hypothetical protein
839,CNAG_01043,hypothetical protein
840,CNAG_07768,hypothetical protein
841,CNAG_00261,hypothetical protein
842,CNAG_06500,arginine metabolism transcriptional control protein
843,CNAG_01347,co-chaperone
844,CNAG_03558,hypothetical protein
845,CNAG_00407,glyoxal oxidase
846,CNAG_01502,major facilitator superfamily transporter
847,CNAG_07988,telomerase reverse transcriptase
848,CNAG_06921,hypothetical protein
849,CNAG_00272,hypothetical protein
850,CNAG_02475,flavin-containing monooxygenase
851,CNAG_01001,hypothetical protein
852,CNAG_06439,"D-arabinono-1,4-lactone oxidase"
853,CNAG_00516,peroxin-7
854,CNAG_01519,endonuclease/exonuclease/phosphatase
855,CNAG_01850,Atypical/HisK protein kinase
856,CNAG_04317,hypothetical protein
857,CNAG_07030,hypothetical protein
858,CNAG_01087,hypothetical protein
859,CNAG_02373,ATP-binding protein
860,CNAG_05993,"transmembrane transporter Liz1p, variant"
861,CNAG_05993,transmembrane transporter Liz1p
862,CNAG_00274,hypothetical protein
863,CNAG_06786,hypothetical protein
864,CNAG_01920,polyubiquitin
865,CNAG_02423,hypothetical protein
866,CNAG_05582,hypothetical protein
867,CNAG_00130,CAMK/CAMK1/CAMK1-RCK protein kinase
868,CNAG_06019,"hypothetical protein, variant"
869,CNAG_06019,hypothetical protein
870,CNAG_05250,telomere maintenance protein
871,CNAG_00983,hypothetical protein
872,CNAG_04630,hypothetical protein
873,CNAG_06728,kinesin
874,CNAG_03420,Gly-Xaa carboxypeptidase
875,CNAG_01127,hypothetical protein
876,CNAG_06674,hypothetical protein
877,CNAG_04794,spermine transporter
878,CNAG_02192,hypothetical protein
879,CNAG_02192,hypothetical protein
880,CNAG_05714,hypothetical protein
881,CNAG_06924,beta-fructofuranosidase
882,CNAG_07758,hypothetical protein
883,CNAG_00083,hypothetical protein
884,CNAG_03705,hypothetical protein
885,CNAG_03406,compass component spp1
886,CNAG_00239,hypothetical protein
887,CNAG_00635,cytoplasmic protein
888,CNAG_01779,hypothetical protein
889,CNAG_01938,CAMK/CAMKL/Kin1 protein kinase
890,CNAG_01960,efflux protein EncT
891,CNAG_06712,hypothetical protein
892,CNAG_05479,hypothetical protein
893,CNAG_05479,"hypothetical protein, variant"
894,CNAG_04032,AFG3 family protein
895,CNAG_06158,hypothetical protein
896,CNAG_06892,preconditioning-inducible protein
897,CNAG_00960,ATP-dependent RNA helicase DHX8/PRP22
898,CNAG_05352,acetyl-CoA transporter
899,CNAG_06470,hypothetical protein
900,CNAG_04343,nicotinamide mononucleotide permease
901,CNAG_06695,hypothetical protein
902,CNAG_07076,hypothetical protein
903,CNAG_00290,aminopeptidase
904,CNAG_02386,hypothetical protein
905,CNAG_05778,WSC domain-containing protein
906,CNAG_05778,"WSC domain-containing protein, variant"
907,CNAG_07812,hypothetical protein
908,CNAG_02298,niemann-Pick C1 protein
909,CNAG_03698,E3 ubiquitin-protein ligase UBR7
910,CNAG_01889,glutathione S-transferase
911,CNAG_04514,CMGC/MAPK protein kinase
912,CNAG_07314,hypothetical protein
913,CNAG_06048,hypothetical protein
914,CNAG_01421,hypothetical protein
915,CNAG_06501,"1,3-beta-glucanosyltransferase"
916,CNAG_03869,hypothetical protein
917,CNAG_06250,hypothetical protein
918,CNAG_03996,guanosine-diphosphatase
919,CNAG_01730,STE/STE7/MEK1 protein kinase
920,CNAG_06465,transcription regulator
921,CNAG_03858,hypothetical protein
922,CNAG_03610,mRNA guanylyltransferase
923,CNAG_05740,"protein farnesyltransferase subunit beta, variant"
924,CNAG_05740,protein farnesyltransferase subunit beta
925,CNAG_05432,hypothetical protein
926,CNAG_07512,hypothetical protein
927,CNAG_04231,hypothetical protein
928,CNAG_02666,hypothetical protein
929,CNAG_03387,hypothetical protein
930,CNAG_00080,hypothetical protein
931,CNAG_00390,myotubularin
932,CNAG_02286,cytoplasmic protein
933,CNAG_05327,hypothetical protein
934,CNAG_01279,ubiquitin-conjugating enzyme E2 S
935,CNAG_01279,"ubiquitin-conjugating enzyme E2 S, variant"
936,CNAG_03418,exportin-1
937,CNAG_00009,calcium-binding protein
938,CNAG_01664,CMGC/CDK/CDC2 protein kinase
939,CNAG_02089,hypothetical protein
940,CNAG_00003,drug transporter
941,CNAG_06100,hypothetical protein
942,CNAG_05452,hypothetical protein
943,CNAG_01694,hypothetical protein
944,CNAG_01278,phospholipid-translocating ATPase
945,CNAG_01278,"phospholipid-translocating ATPase, variant"
946,CNAG_01183,hypothetical protein
947,CNAG_01734,pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16
948,CNAG_04715,oligosaccharyltransferase complex subunit alpha (ribophorin I)
949,CNAG_05585,arf/Sar family protein
950,CNAG_05585,"arf/Sar family protein, variant"
951,CNAG_05545,bis(5'-adenosyl)-triphosphatase
952,CNAG_00402,translation initiation factor 4G
953,CNAG_05970,STE/STE20/PAKA protein kinase
954,CNAG_04137,hypothetical protein
955,CNAG_00146,5'/3'-nucleotidase SurE
956,CNAG_06516,hypothetical protein
957,CNAG_02178,hypothetical protein
958,CNAG_02152,hypothetical protein
959,CNAG_00576,mitochondrial protein
960,CNAG_00709,uracil-DNA glycosylase
961,CNAG_06703,hypothetical protein
962,CNAG_01370,hypothetical protein
963,CNAG_07318,AP-1 complex subunit gamma-1
964,CNAG_03294,hypothetical protein
965,CNAG_04987,hypothetical protein
966,CNAG_06301,AGC/Akt protein kinase
967,CNAG_06343,"hypothetical protein, variant"
968,CNAG_06343,hypothetical protein
969,CNAG_02260,protein FAM50
970,CNAG_05384,CDP-diacylglycerol-inositol 3-phosphatidyltransferase
971,CNAG_04716,KH domain-containing protein
972,CNAG_02404,nuclear segregation protein Bfr1
973,CNAG_01440,hypothetical protein
974,CNAG_03251,ADP-ribosylation factor
975,CNAG_01041,hypothetical protein
976,CNAG_05574,"phosphatidylinositol glycan, class C"
977,CNAG_03279,hypothetical protein
978,CNAG_05397,"hypothetical protein, variant"
979,CNAG_05397,hypothetical protein
980,CNAG_00805,hypothetical protein
981,CNAG_02921,hypothetical protein
982,CNAG_01009,hypothetical protein
983,CNAG_01009,"hypothetical protein, variant"
984,CNAG_05771,serine/threonine-protein kinase TEL1
985,CNAG_05771,"serine/threonine-protein kinase TEL1, variant"
986,CNAG_05395,hypothetical protein
987,CNAG_06104,hypothetical protein
988,CNAG_04496,rab GTPase activator
989,CNAG_03573,kynurenine 3-monooxygenase
990,CNAG_07691,hypothetical protein
991,CNAG_00508,vacuolar protein sorting-associated protein vps17
992,CNAG_03651,syntaxin 7
993,CNAG_00020,hypothetical protein
994,CNAG_07665,hypothetical protein
995,CNAG_01961,MSP domain-containing protein
996,CNAG_00564,hypothetical protein
997,CNAG_01105,hypothetical protein
998,CNAG_05201,DNA mismatch repair protein MSH4
999,CNAG_00010,cation transporter
1000,CNAG_05180,hypothetical protein
1001,CNAG_06339,hypothetical protein
1002,CNAG_00520,hypothetical protein
1003,CNAG_02078,hydrolase
1004,CNAG_06008,asparaginase
1005,CNAG_02964,hypothetical protein
1006,CNAG_02892,"phosphatidylinositol glycan, class B"
1007,CNAG_01178,nuclear envelope-endoplasmic reticulum network protein
1008,CNAG_05515,hypothetical protein
1009,CNAG_04895,nuclear protein
1010,CNAG_04892,hypothetical protein
1011,CNAG_04892,"hypothetical protein, variant 1"
1012,CNAG_04892,"hypothetical protein, variant 4"
1013,CNAG_04892,"hypothetical protein, variant 3"
1014,CNAG_04892,"hypothetical protein, variant 2"
1015,CNAG_03120,"alpha-1,3-glucan synthase, variant"
1016,CNAG_03120,"alpha-1,3-glucan synthase"
1017,CNAG_00896,transcription factor
1018,CNAG_06246,hypothetical protein
1019,CNAG_00442,cyclin
1020,CNAG_03635,hypothetical protein
1021,CNAG_00426,UBA/TS-N domain-containing protein
1022,CNAG_02368,"hypothetical protein, variant"
1023,CNAG_02368,hypothetical protein
1024,CNAG_05586,hypothetical protein
1025,CNAG_05586,"hypothetical protein, variant"
1026,CNAG_03716,hypothetical protein
1027,CNAG_03716,"hypothetical protein, variant"
1028,CNAG_03807,"E3 ubiquitin-protein ligase CCNP1IP1, variant"
1029,CNAG_03807,E3 ubiquitin-protein ligase CCNP1IP1
1030,CNAG_01824,"transmembrane protein, variant"
1031,CNAG_01824,transmembrane protein
1032,CNAG_02883,rho family protein
1033,CNAG_05734,hypothetical protein
1034,CNAG_05734,"hypothetical protein, variant"
1035,CNAG_05634,"protein phosphatase 2 (formerly 2A), regulatory subunit B'"
1036,CNAG_00299,DNA repair protein RAD5
1037,CNAG_04272,CAMK/CAMK1 protein kinase
1038,CNAG_07353,26S proteasome non-ATPase regulatory subunit 9
1039,CNAG_01526,cleavage and polyadenylation specificity factor subunit 4
1040,CNAG_02742,hypothetical protein
1041,CNAG_02165,cytoplasmic protein
1042,CNAG_03808,aromatic amino acid aminotransferase I
1043,CNAG_03656,hypothetical protein
1044,CNAG_02408,hypothetical protein
1045,CNAG_07434,"HAD hydrolase, family IIID"
1046,CNAG_07434,"HAD hydrolase, family IIID, variant"
1047,CNAG_05503,LIM domain-containing protein
1048,CNAG_05773,F-box and WD-40 domain-containing protein MET30
1049,CNAG_00568,hypothetical protein
1050,CNAG_03772,glucose transporter
1051,CNAG_01282,hypothetical protein
1052,CNAG_03622,cell polarity protein mor2
1053,CNAG_03622,"cell polarity protein mor2, variant"
1054,CNAG_04842,hypothetical protein
1055,CNAG_05262,hypothetical protein
1056,CNAG_05036,hypothetical protein
1057,CNAG_05758,SFT2 domain-containing protein
1058,CNAG_04539,mitochondrial protein required for respiration
1059,CNAG_03673,serine/threonine-protein phosphatase PP-Z1
1060,CNAG_03329,PHD-finger protein
1061,CNAG_01476,hypothetical protein
1062,CNAG_05797,5'-3' exoribonuclease 2
1063,CNAG_05615,syntaxin 1B/2/3
1064,CNAG_00780,"hypothetical protein, variant"
1065,CNAG_00780,hypothetical protein
1066,CNAG_01263,vacuolar transporter chaperone 4
1067,CNAG_03672,BET3 family protein
1068,CNAG_04108,pyruvate dehydrogenase kinase
1069,CNAG_06337,hypothetical protein
1070,CNAG_04743,oligosaccharyltransferase complex subunit beta
1071,CNAG_01084,ubiquitin-conjugating enzyme 4
1072,CNAG_05522,hypothetical protein
1073,CNAG_03957,4-nitrophenyl phosphatase
1074,CNAG_05588,hypothetical protein
1075,CNAG_03768,"hypothetical protein, variant"
1076,CNAG_03768,hypothetical protein
1077,CNAG_04604,tryptophan-tRNA ligase
1078,CNAG_00100,stress-induced-phosphoprotein 1
1079,CNAG_01815,hypothetical protein
1080,CNAG_04991,hypothetical protein
1081,CNAG_06839,methylene-fatty-acyl-phospholipid synthase
1082,CNAG_05888,hypothetical protein
1083,CNAG_04871,hypothetical protein
1084,CNAG_08000,hypothetical protein
1085,CNAG_02682,hypothetical protein
1086,CNAG_05182,hypothetical protein
1087,CNAG_01376,stress response protein NST1
1088,CNAG_01376,"stress response protein NST1, variant"
1089,CNAG_03396,NAD diphosphatase
1090,CNAG_04510,vacuolar protein-sorting-associated protein 4
1091,CNAG_01209,1-phosphatidylinositol-3-phosphate 5-kinase
1092,CNAG_06282,WD-repeat protein 48
1093,CNAG_04584,poly(rC)-binding protein 2/3/4
1094,CNAG_07773,hypothetical protein
1095,CNAG_01270,hypothetical protein
1096,CNAG_01866,hypothetical protein
1097,CNAG_02458,GTPase activating protein
1098,CNAG_02196,septin
1099,CNAG_01173,hypothetical protein
1100,CNAG_05425,asparagine synthase (glutamine-hydrolyzing)
1101,CNAG_06884,hypothetical protein
1102,CNAG_07718,multidomain RhoGEF
1103,CNAG_03075,DNA polymerase delta subunit 3
1104,CNAG_03216,CAMK protein kinase
1105,CNAG_01642,"DNA mismatch repair protein MSH3, variant"
1106,CNAG_01642,DNA mismatch repair protein MSH3
1107,CNAG_03485,polyamine transporter 1
1108,CNAG_07936,hypothetical protein
1109,CNAG_00133,hypothetical protein
1110,CNAG_05638,hypothetical protein
1111,CNAG_04519,D-serine dehydratase
1112,CNAG_06160,guanyl nucleotide exchange factor Sql2
1113,CNAG_01412,phosphatidate phosphatase LPIN
1114,CNAG_00008,hypothetical protein
1115,CNAG_07506,transcriptional repressor NF-X1
1116,CNAG_06860,nuclear protein
1117,CNAG_07825,hypothetical protein
1118,CNAG_02220,hypothetical protein
1119,CNAG_05842,cytochrome P450
1120,CNAG_00792,ATP-binding cassette transporter
1121,CNAG_05034,ubiquitin-conjugating enzyme family protein
1122,CNAG_06382,beta-transducin repeat containing protein
1123,CNAG_06272,hypothetical protein
1124,CNAG_05852,heme oxygenase 2
1125,CNAG_00505,hypothetical protein
1126,CNAG_07781,"ATP-dependent bile acid transporter, variant"
1127,CNAG_07781,ATP-dependent bile acid transporter
1128,CNAG_03767,cohesin complex subunit psm1
1129,CNAG_07108,tip120-family protein
1130,CNAG_00565,dynamin GTPase
1131,CNAG_01101,hypothetical protein
1132,CNAG_00063,histone H3
1133,CNAG_05783,transcription initiation factor TFIIB
1134,CNAG_04804,hypothetical protein
1135,CNAG_06526,"hypothetical protein, variant"
1136,CNAG_06526,hypothetical protein
1137,CNAG_02434,copper chaperone
1138,CNAG_03657,hypothetical protein
1139,CNAG_05933,hypothetical protein
1140,CNAG_05177,DNA polymerase kappa subunit
1141,CNAG_04301,hypothetical protein
1142,CNAG_04301,"hypothetical protein, variant"
1143,CNAG_02557,fungal specific transcription factor
1144,CNAG_05640,metal iron transporter
1145,CNAG_00682,kinesin
1146,CNAG_03277,inositol oxygenase
1147,CNAG_04528,hypothetical protein
1148,CNAG_04337,cation diffusion facilitator
1149,CNAG_06122,glycerol-1-phosphatase
1150,CNAG_04064,hypothetical protein
1151,CNAG_06637,ubiquitin carboxyl-terminal hydrolase 22/27/51
1152,CNAG_03286,hypothetical protein
1153,CNAG_07647,voltage-gated chloride channel protein
1154,CNAG_01522,phenylalanine-tRNA ligase
1155,CNAG_02936,CCR4-NOT transcription complex subunit 1
1156,CNAG_05137,ER lumen protein retaining receptor
1157,CNAG_00236,8-amino-7-oxononanoate synthase
1158,CNAG_00263,serine/threonine/tyrosine-interacting protein
1159,CNAG_01814,hypothetical protein
1160,CNAG_04297,ribonuclease HII
1161,CNAG_04297,"ribonuclease HII, variant"
1162,CNAG_00985,"hypothetical protein, variant"
1163,CNAG_00985,hypothetical protein
1164,CNAG_03819,sterol 24-C-methyltransferase
1165,CNAG_07642,hypothetical protein
1166,CNAG_02774,hypothetical protein
1167,CNAG_05715,charged multivesicular body protein 5
1168,CNAG_05194,"lipoyl synthase, mitochondrial"
1169,CNAG_00583,hypothetical protein
1170,CNAG_05540,urease
1171,CNAG_00188,endoplasmic reticulum protein
1172,CNAG_02428,GC-rich sequence DNA-binding factor
1173,CNAG_00839,mitochondrial protein
1174,CNAG_02261,hypothetical protein
1175,CNAG_02124,hypothetical protein
1176,CNAG_05847,thioredoxin reductase
1177,CNAG_02337,uracil phosphoribosyltransferase
1178,CNAG_03911,hydrolase
1179,CNAG_01377,PAB-dependent poly(A)-specific ribonuclease subunit PAN2
1180,CNAG_03504,hypothetical protein
1181,CNAG_06694,hydroxyisourate hydrolase
1182,CNAG_06862,vacuolar protein
1183,CNAG_06862,"vacuolar protein, variant 1"
1184,CNAG_06862,"vacuolar protein, variant 2"
1185,CNAG_07514,Sec7 domain-containing protein
1186,CNAG_07402,pantothenate transporter
1187,CNAG_07377,transformation/transcription domain-associated protein
1188,CNAG_02413,"hypothetical protein, variant"
1189,CNAG_02413,hypothetical protein
1190,CNAG_04450,chromodomain-helicase-DNA-binding protein 1
1191,CNAG_00546,chitin synthase
1192,CNAG_07333,ubiquitin carboxyl-terminal hydrolase 25/28
1193,CNAG_04198,hypothetical protein
1194,CNAG_03023,hypothetical protein
1195,CNAG_04187,GPI-anchored wall transfer protein 1
1196,CNAG_01149,hypothetical protein
1197,CNAG_00461,protein kinase C substrate 80K-H
1198,CNAG_01093,hypothetical protein
1199,CNAG_05866,plasma membrane fusion protein PRM1
1200,CNAG_02959,high-affinity iron transporter
1201,CNAG_03899,hypoxia up-regulated 1
1202,CNAG_05919,hypothetical protein
1203,CNAG_02665,hypothetical protein
1204,CNAG_02665,"hypothetical protein, variant"
1205,CNAG_02189,alpha-amylase
1206,CNAG_03609,hypothetical protein
1207,CNAG_07943,hypothetical protein
1208,CNAG_07883,hypothetical protein
1209,CNAG_05887,pre-mRNA-splicing factor 18
1210,CNAG_02511,CMGC/MAPK protein kinase
1211,CNAG_04397,hypothetical protein
1212,CNAG_07605,hypothetical protein
1213,CNAG_07964,hypothetical protein
1214,CNAG_07964,hypothetical protein
1215,CNAG_04034,hypothetical protein
1216,CNAG_01640,hypothetical protein
1217,CNAG_04499,clathrin light chain
1218,CNAG_03405,hypothetical protein
1219,CNAG_02085,hypothetical protein
1220,CNAG_07675,neurofibromin 1
1221,CNAG_02664,D-lactate dehydrogenase
1222,CNAG_05253,hypothetical protein
1223,CNAG_03345,"hypothetical protein, variant"
1224,CNAG_03345,hypothetical protein
1225,CNAG_00483,actin
1226,CNAG_07972,hypothetical protein
1227,CNAG_06184,hypothetical protein
1228,CNAG_06184,"hypothetical protein, variant"
1229,CNAG_07441,hypothetical protein
1230,CNAG_06265,high-affinity nicotinic acid transporter
1231,CNAG_05748,NuA3 HAT complex component NTO1
1232,CNAG_05748,"NuA3 HAT complex component NTO1, variant"
1233,CNAG_06443,glucose-regulated protein
1234,CNAG_06825,hypothetical protein
1235,CNAG_07699,zinc finger family protein
1236,CNAG_06898,chitin synthase export chaperone
1237,CNAG_05320,oxidoreductase
1238,CNAG_08020,transcript_id=XM_012198550.1
1239,CNAG_01063,WD-repeat protein mip1
1240,CNAG_03425,hypothetical protein
1241,CNAG_05979,phosphoglycerate dehydrogenase
1242,CNAG_00757,ubiquitin carboxyl-terminal hydrolase 8
1243,CNAG_06142,DNA polymerase alpha subunit B
1244,CNAG_05717,hypothetical protein
1245,CNAG_01133,mitochondrial protein
1246,CNAG_00014,hypothetical protein
1247,CNAG_03268,hypothetical protein
1248,CNAG_07667,HAL protein kinase
1249,CNAG_06675,hypothetical protein
1250,CNAG_07029,vesicle-associated membrane protein 7
1251,CNAG_06772,nucleoporin SEH1
1252,CNAG_06021,rab GTPase activator
1253,CNAG_00277,hypothetical protein
1254,CNAG_04380,"peptidase, variant"
1255,CNAG_04380,peptidase
1256,CNAG_03790,hypothetical protein
1257,CNAG_04233,hypothetical protein
1258,CNAG_04540,translocation protein SEC62
1259,CNAG_04846,membrane protein
1260,CNAG_05029,"meiotic Sister-Chromatid recombination aldehyde dehydrogenase, variant"
1261,CNAG_05029,meiotic Sister-Chromatid recombination aldehyde dehydrogenase
1262,CNAG_05925,septin ring protein
1263,CNAG_07770,ferric-chelate reductase
1264,CNAG_07966,hypothetical protein
1265,CNAG_01261,myosin I binding protein
1266,CNAG_01900,hypothetical protein
1267,CNAG_04295,hypothetical protein
1268,CNAG_07692,nucleoside phosphatase
1269,CNAG_04641,general transcription factor 3C polypeptide 3 (transcription factor C subunit 4)
1270,CNAG_06525,nuclear protein
1271,CNAG_02561,spermine transporter
1272,CNAG_06166,ATP-dependent DNA helicase MPH1
1273,CNAG_01373,septin ring protein
1274,CNAG_05282,phospholipid-translocating ATPase
1275,CNAG_00176,glutamate carboxypeptidase
1276,CNAG_00176,"glutamate carboxypeptidase, variant"
1277,CNAG_04159,ariadne-1
1278,CNAG_04320,polysaccharide synthase Cps1p
1279,CNAG_06614,glycerophosphodiesterase
1280,CNAG_01798,phosphatase activator
1281,CNAG_02965,hypothetical protein
1282,CNAG_05408,hypothetical protein
1283,CNAG_06757,"hypothetical protein, variant 1"
1284,CNAG_06757,"hypothetical protein, variant 2"
1285,CNAG_06757,hypothetical protein
1286,CNAG_02081,"mannosyl-oligosaccharide alpha-1,2-mannosidase"
1287,CNAG_06566,hypothetical protein
1288,CNAG_04863,ESCRT-II complex subunit VPS25
1289,CNAG_02798,hypothetical protein
1290,CNAG_04069,U4/U6 small nuclear ribonucleoprotein PRP31
1291,CNAG_01985,hypothetical protein
1292,CNAG_01657,"fumarate hydratase, mitochondrial"
1293,CNAG_00612,DNA excision repair protein ERCC-3
1294,CNAG_06323,L-fucose permease
